,Player,W,T,L,Win %,Total,PB,AP1,HoF
0,A.J. Feeley,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
1,A.J. McCarron,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
2,Aaron Brooks,10.0,0.0,32.0,0.238095238095238,42.0,0.0,0.0,N
3,Aaron Rodgers,46.0,1.0,50.0,0.4793814432989691,97.0,10.0,4.0,N
4,Adrian Breen,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
5,Aidan O'Connell,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
6,Akili Smith,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
7,Al Woodall,3.0,0.0,9.0,0.25,12.0,0.0,0.0,N
8,Alan Pastrana,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
9,Alan Risher,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
10,Alex Smith,29.0,0.0,45.0,0.3918918918918919,74.0,3.0,0.0,N
11,Alex Van Pelt,2.0,0.0,7.0,0.2222222222222222,9.0,0.0,0.0,N
12,Andre Ware,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
13,Andrew Luck,19.0,0.0,23.0,0.4523809523809524,42.0,4.0,0.0,N
14,Andrew Walter,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
15,Andy Dalton,24.0,1.0,47.0,0.3402777777777778,72.0,3.0,0.0,N
16,Anthony Brown,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
17,Anthony Dilweg,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
18,Anthony Richardson,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
19,Anthony Wright,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
20,Archie Manning,12.0,2.0,48.0,0.2096774193548387,62.0,2.0,0.0,N
21,Art Schlichter,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
22,Austin Davis,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
23,Babe Laufenberg,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
24,Babe Parilli,5.0,2.0,7.0,0.4285714285714285,14.0,3.0,0.0,N
25,Bailey Zappe,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
26,Baker Mayfield,10.0,0.0,33.0,0.2325581395348837,43.0,1.0,0.0,N
27,Bart Starr,10.0,0.0,17.0,0.3703703703703703,27.0,4.0,1.0,Y
28,Ben Roethlisberger,58.0,0.0,47.0,0.5523809523809524,105.0,6.0,0.0,N
29,Bernie Kosar,17.0,1.0,29.0,0.3723404255319149,47.0,1.0,0.0,N
30,Bert Jones,11.0,0.0,27.0,0.2894736842105263,38.0,1.0,1.0,N
31,Bill Demory,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
32,Bill Kenney,12.0,0.0,23.0,0.3428571428571428,35.0,1.0,0.0,N
33,Bill Munson,4.0,1.0,15.0,0.225,20.0,0.0,0.0,N
34,Bill Musgrave,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
35,Bill Nelsen,10.0,0.0,12.0,0.4545454545454545,22.0,1.0,0.0,N
36,Bill Troup,2.0,0.0,4.0,0.3333333333333333,6.0,0.0,0.0,N
37,Billy Joe Hobert,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
38,Billy Joe Tolliver,3.0,0.0,23.0,0.1153846153846153,26.0,0.0,0.0,N
39,Billy Kilmer,16.0,0.0,30.0,0.3478260869565217,46.0,1.0,0.0,N
40,Billy Volek,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
41,Blaine Gabbert,5.0,0.0,23.0,0.1785714285714285,28.0,0.0,0.0,N
42,Blair Kiel,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
43,Blake Bortles,6.0,0.0,32.0,0.1578947368421052,38.0,0.0,0.0,N
44,Bob Avellini,5.0,0.0,16.0,0.238095238095238,21.0,0.0,0.0,N
45,Bob Berry,5.0,2.0,20.0,0.2222222222222222,27.0,1.0,0.0,N
46,Bob Bleier,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
47,Bob Davis,1.0,1.0,5.0,0.2142857142857142,7.0,0.0,0.0,N
48,Bob Gagliano,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
49,Bob Griese,22.0,1.0,37.0,0.375,60.0,8.0,2.0,Y
50,Bob Lee,4.0,0.0,6.0,0.4,10.0,0.0,0.0,N
51,Bobby Douglass,5.0,0.0,23.0,0.1785714285714285,28.0,0.0,0.0,N
52,Bobby Hebert,17.0,0.0,26.0,0.3953488372093023,43.0,1.0,0.0,N
53,Bobby Hoying,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
54,Bobby Scott,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
55,Boomer Esiason,29.0,0.0,60.0,0.3258426966292135,89.0,4.0,1.0,N
56,Brad Goebel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
57,Brad Johnson,20.0,0.0,34.0,0.3703703703703703,54.0,2.0,0.0,N
58,Brad Smith,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
59,Brady Quinn,1.0,0.0,8.0,0.1111111111111111,9.0,0.0,0.0,N
60,Brandon Allen,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
61,Brandon Weeden,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
62,Brent Pease,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
63,Brett Favre,58.0,0.0,63.0,0.4793388429752066,121.0,11.0,3.0,Y
64,Brett Hundley,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
65,Brett Rypien,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
66,Brian Brohm,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
67,Brian Griese,16.0,0.0,20.0,0.4444444444444444,36.0,1.0,0.0,N
68,Brian Hoyer,5.0,0.0,14.0,0.2631578947368421,19.0,0.0,0.0,N
69,Brian Sipe,15.0,0.0,35.0,0.3,50.0,1.0,1.0,N
70,Brian St. Pierre,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
71,Brock Huard,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
72,Brock Osweiler,6.0,0.0,8.0,0.4285714285714285,14.0,0.0,0.0,N
73,Brock Purdy,9.0,0.0,3.0,0.75,12.0,1.0,0.0,N
74,Brodie Croyle,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
75,Brooks Bollinger,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
76,Browning Nagle,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
77,Bruce Gradkowski,4.0,0.0,6.0,0.4,10.0,0.0,0.0,N
78,Bruce Lemmerman,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
79,Bruce Mathison,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
80,Bryce Perkins,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
81,Bryce Petty,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
82,Bryce Young,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
83,Bubby Brister,7.0,0.0,26.0,0.2121212121212121,33.0,0.0,0.0,N
84,Bucky Richardson,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
85,Buddy Humphrey,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
86,Byron Leftwich,10.0,0.0,14.0,0.4166666666666667,24.0,0.0,0.0,N
87,C.J. Beathard,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
88,C.J. Stroud,6.0,0.0,3.0,0.6666666666666666,9.0,1.0,0.0,N
89,Cade McNown,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
90,Cam Newton,22.0,1.0,42.0,0.3461538461538461,65.0,3.0,1.0,N
91,Carlos Brown,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
92,Carson Palmer,30.0,1.0,57.0,0.3465909090909091,88.0,3.0,0.0,N
93,Carson Wentz,18.0,0.0,31.0,0.3673469387755102,49.0,1.0,0.0,N
94,Cary Conklin,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
95,Case Keenum,12.0,0.0,20.0,0.375,32.0,0.0,0.0,N
96,Chad Henne,5.0,0.0,20.0,0.2,25.0,0.0,0.0,N
97,Chad Hutchinson,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
98,Chad Pennington,12.0,0.0,24.0,0.3333333333333333,36.0,0.0,0.0,N
99,Charley Johnson,9.0,4.0,25.0,0.2894736842105263,38.0,1.0,0.0,N
100,Charlie Batch,11.0,0.0,19.0,0.3666666666666666,30.0,0.0,0.0,N
101,Charlie Frye,2.0,0.0,9.0,0.1818181818181818,11.0,0.0,0.0,N
102,Charlie Whitehurst,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
103,Chase Daniel,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
104,Chris Chandler,14.0,0.0,56.0,0.2,70.0,2.0,0.0,N
105,Chris Miller,14.0,0.0,37.0,0.2745098039215686,51.0,1.0,0.0,N
106,Chris Redman,3.0,0.0,5.0,0.375,8.0,0.0,0.0,N
107,Chris Simms,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
108,Chris Streveler,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
109,Chris Weinke,0.0,0.0,9.0,0.0,9.0,0.0,0.0,N
110,Christian Ponder,4.0,1.0,13.0,0.25,18.0,0.0,0.0,N
111,Chuck Long,0.0,0.0,12.0,0.0,12.0,0.0,0.0,N
112,Clayton Tune,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
113,Cleo Lemon,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
114,Cliff Olander,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
115,Cliff Stoudt,2.0,0.0,6.0,0.25,8.0,0.0,0.0,N
116,Clint Longley,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
117,Cody Carlson,3.0,0.0,6.0,0.3333333333333333,9.0,0.0,0.0,N
118,Cody Kessler,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
119,Cody Pickett,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
120,Colin Kaepernick,11.0,0.0,19.0,0.3666666666666666,30.0,0.0,0.0,N
121,Colt McCoy,5.0,0.0,17.0,0.2272727272727272,22.0,0.0,0.0,N
122,Connor Shaw,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
123,Cooper Rush,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
124,Cotton Davidson,0.0,0.0,2.0,0.0,2.0,2.0,0.0,N
125,Craig Erickson,6.0,0.0,14.0,0.3,20.0,0.0,0.0,N
126,Craig Krenzel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
127,Craig Morton,23.0,0.0,40.0,0.365079365079365,63.0,0.0,0.0,N
128,Craig Whelihan,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
129,Curtis Painter,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
130,Dak Prescott,26.0,0.0,29.0,0.4727272727272727,55.0,4.0,0.0,N
131,Damon Huard,5.0,0.0,6.0,0.4545454545454545,11.0,0.0,0.0,N
132,Dan Darragh,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
133,Dan Fouts,25.0,1.0,55.0,0.3148148148148148,81.0,6.0,2.0,Y
134,Dan Manucci,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
135,Dan Marino,52.0,0.0,63.0,0.4521739130434782,115.0,9.0,3.0,Y
136,Dan McGwire,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
137,Dan Orlovsky,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
138,Dan Pastorini,18.0,0.0,45.0,0.2857142857142857,63.0,1.0,0.0,N
139,Daniel Jones,5.0,0.0,22.0,0.1851851851851851,27.0,0.0,0.0,N
140,Danny Kanell,3.0,1.0,9.0,0.2692307692307692,13.0,0.0,0.0,N
141,Danny White,19.0,0.0,15.0,0.5588235294117647,34.0,1.0,0.0,N
142,Danny Wuerffel,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
143,Daryle Lamonica,20.0,2.0,13.0,0.6,35.0,5.0,2.0,N
144,Daunte Culpepper,14.0,0.0,37.0,0.2745098039215686,51.0,3.0,0.0,N
145,Dave Brown,4.0,0.0,23.0,0.1481481481481481,27.0,0.0,0.0,N
146,Dave Krieg,33.0,0.0,50.0,0.3975903614457831,83.0,3.0,0.0,N
147,Dave Mays,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
148,Dave Walter,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
149,Dave Wilson,4.0,0.0,12.0,0.25,16.0,0.0,0.0,N
150,David Archer,2.0,1.0,8.0,0.2272727272727272,11.0,0.0,0.0,N
151,David Blough,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
152,David Carr,6.0,0.0,32.0,0.1578947368421052,38.0,0.0,0.0,N
153,David Garrard,9.0,0.0,22.0,0.2903225806451613,31.0,1.0,0.0,N
154,David Humm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
155,David Klingler,1.0,0.0,11.0,0.0833333333333333,12.0,0.0,0.0,N
156,David Norrie,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
157,David Whitehurst,3.0,1.0,15.0,0.1842105263157894,19.0,0.0,0.0,N
158,David Woodley,7.0,1.0,7.0,0.5,15.0,0.0,0.0,N
159,Davis Mills,2.0,0.0,13.0,0.1333333333333333,15.0,0.0,0.0,N
160,Davis Webb,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
161,DeShone Kizer,0.0,0.0,9.0,0.0,9.0,0.0,0.0,N
162,Dennis Claridge,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
163,Dennis Dixon,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
164,Dennis Morrison,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
165,Dennis Shaw,2.0,2.0,16.0,0.15,20.0,0.0,0.0,N
166,Derek Anderson,2.0,0.0,18.0,0.1,20.0,1.0,0.0,N
167,Derek Carr,24.0,0.0,59.0,0.2891566265060241,83.0,4.0,0.0,N
168,Deshaun Watson,11.0,0.0,21.0,0.34375,32.0,3.0,0.0,N
169,Desmond Ridder,4.0,0.0,5.0,0.4444444444444444,9.0,0.0,0.0,N
170,Devlin Hodges,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
171,Dewey Warren,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
172,Dick Shiner,2.0,1.0,8.0,0.2272727272727272,11.0,0.0,0.0,N
173,Dick Wood,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
174,Dieter Brock,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
175,Don Horn,1.0,1.0,5.0,0.2142857142857142,7.0,0.0,0.0,N
176,Don Majkowski,6.0,1.0,18.0,0.26,25.0,1.0,0.0,N
177,Don Meredith,7.0,1.0,4.0,0.625,12.0,3.0,0.0,N
178,Don Strock,6.0,0.0,3.0,0.6666666666666666,9.0,0.0,0.0,N
179,Don Trull,0.0,0.0,8.0,0.0,8.0,0.0,0.0,N
180,Donald Hollas,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
181,Donovan McNabb,28.0,0.0,36.0,0.4375,64.0,6.0,0.0,N
182,Dorian Thompson-Robinson,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
183,Doug Flutie,14.0,0.0,17.0,0.4516129032258064,31.0,1.0,0.0,N
184,Doug Hudson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
185,Doug Johnson,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
186,Doug Pederson,0.0,0.0,9.0,0.0,9.0,0.0,0.0,N
187,Doug Williams,8.0,0.0,17.0,0.32,25.0,0.0,0.0,N
188,Drew Bledsoe,31.0,0.0,71.0,0.3039215686274509,102.0,4.0,0.0,N
189,Drew Brees,53.0,0.0,69.0,0.4344262295081967,122.0,13.0,1.0,N
190,Drew Lock,3.0,0.0,10.0,0.2307692307692307,13.0,0.0,0.0,N
191,Drew Stanton,5.0,0.0,4.0,0.5555555555555556,9.0,0.0,0.0,N
192,Dwayne Haskins,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
193,EJ Manuel,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
194,Earl Morrall,8.0,1.0,8.0,0.5,17.0,2.0,2.0,N
195,Easton Stick,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
196,Ed Luther,2.0,0.0,6.0,0.25,8.0,0.0,0.0,N
197,Ed Rutkowski,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
198,Edd Hargett,1.0,1.0,5.0,0.2142857142857142,7.0,0.0,0.0,N
199,Eli Manning,32.0,0.0,79.0,0.2882882882882883,111.0,4.0,0.0,N
200,Elvis Grbac,8.0,0.0,16.0,0.3333333333333333,24.0,1.0,0.0,N
201,Eric Hipple,8.0,0.0,13.0,0.3809523809523809,21.0,0.0,0.0,N
202,Eric Zeier,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
203,Erik Kramer,9.0,0.0,28.0,0.2432432432432432,37.0,0.0,0.0,N
204,Erik Wilhelm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
205,Fran Tarkenton,25.0,2.0,43.0,0.3714285714285714,70.0,9.0,1.0,Y
206,Frank Reich,2.0,0.0,11.0,0.1538461538461538,13.0,0.0,0.0,N
207,Frank Ryan,4.0,0.0,8.0,0.3333333333333333,12.0,3.0,0.0,N
208,Gale Gilbert,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
209,Gardner Minshew II,5.0,0.0,13.0,0.2777777777777778,18.0,1.0,0.0,N
210,Garrett Gilbert,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
211,Gary Cuozzo,8.0,0.0,10.0,0.4444444444444444,18.0,0.0,0.0,N
212,Gary Danielson,8.0,0.0,16.0,0.3333333333333333,24.0,0.0,0.0,N
213,Gary Hogeboom,5.0,0.0,14.0,0.2631578947368421,19.0,0.0,0.0,N
214,Gary Huff,0.0,0.0,10.0,0.0,10.0,0.0,0.0,N
215,Gary Keithley,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
216,Gary Kubiak,3.0,0.0,1.0,0.75,4.0,0.0,0.0,N
217,Gary Marangi,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
218,Gary Wood,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
219,Geno Smith,7.0,0.0,22.0,0.2413793103448276,29.0,2.0,0.0,N
220,George Blanda,1.0,0.0,2.0,0.3333333333333333,3.0,4.0,0.0,Y
221,George Izo,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
222,George Mira,2.0,0.0,0.0,1.0,2.0,0.0,0.0,N
223,George Wilson,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
224,Gifford Nielsen,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
225,Glenn Foley,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
226,Greg Cook,3.0,0.0,3.0,0.5,6.0,0.0,0.0,N
227,Greg Landry,10.0,0.0,33.0,0.2325581395348837,43.0,1.0,0.0,N
228,Guido Merkens,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
229,Gus Frerotte,16.0,1.0,19.0,0.4583333333333333,36.0,1.0,0.0,N
230,Heath Shuler,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
231,Henry Burris,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
232,Hugh Millen,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
233,Ian Book,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
234,J.P. Losman,1.0,0.0,18.0,0.0526315789473684,19.0,0.0,0.0,N
235,J.T. O'Sullivan,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
236,JaMarcus Russell,3.0,0.0,9.0,0.25,12.0,0.0,0.0,N
237,Jack Concannon,5.0,0.0,16.0,0.238095238095238,21.0,0.0,0.0,N
238,Jack Kemp,2.0,1.0,13.0,0.15625,16.0,7.0,0.0,N
239,Jack Thompson,0.0,0.0,8.0,0.0,8.0,0.0,0.0,N
240,Jack Trudeau,8.0,0.0,19.0,0.2962962962962963,27.0,0.0,0.0,N
241,Jacky Lee,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
242,Jacoby Brissett,6.0,0.0,18.0,0.25,24.0,0.0,0.0,N
243,Jake Browning,3.0,0.0,3.0,0.5,6.0,0.0,0.0,N
244,Jake Delhomme,13.0,0.0,26.0,0.3333333333333333,39.0,1.0,0.0,N
245,Jake Fromm,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
246,Jake Locker,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
247,Jake Luton,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
248,Jake Plummer,17.0,0.0,33.0,0.34,50.0,1.0,0.0,N
249,Jalen Hurts,15.0,0.0,9.0,0.625,24.0,2.0,0.0,N
250,Jameis Winston,8.0,0.0,25.0,0.2424242424242424,33.0,1.0,0.0,N
251,James Harris,5.0,0.0,10.0,0.3333333333333333,15.0,1.0,0.0,N
252,Jamie Martin,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
253,Jared Goff,23.0,1.0,32.0,0.4196428571428571,56.0,3.0,0.0,N
254,Jaren Hall,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
255,Jarious Jackson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
256,Jarrett Stidham,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
257,Jason Campbell,9.0,0.0,25.0,0.2647058823529412,34.0,0.0,0.0,N
258,Jason Garrett,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
259,Jay Cutler,21.0,0.0,52.0,0.2876712328767123,73.0,1.0,0.0,N
260,Jay Fiedler,12.0,0.0,18.0,0.4,30.0,0.0,0.0,N
261,Jay Schroeder,17.0,0.0,28.0,0.3777777777777777,45.0,1.0,0.0,N
262,Jeb Blount,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
263,Jeff Blake,8.0,0.0,36.0,0.1818181818181818,44.0,1.0,0.0,N
264,Jeff Carlson,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
265,Jeff Christensen,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
266,Jeff Driskel,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
267,Jeff Garcia,13.0,0.0,36.0,0.2653061224489796,49.0,4.0,0.0,N
268,Jeff George,10.0,0.0,42.0,0.1923076923076923,52.0,0.0,0.0,N
269,Jeff Hostetler,16.0,0.0,20.0,0.4444444444444444,36.0,1.0,0.0,N
270,Jeff Kemp,4.0,0.0,10.0,0.2857142857142857,14.0,0.0,0.0,N
271,Jeff Komlo,1.0,0.0,8.0,0.1111111111111111,9.0,0.0,0.0,N
272,Jeff Rutledge,1.0,1.0,6.0,0.1875,8.0,0.0,0.0,N
273,Jeff Tuel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
274,Jeff Van Raaphorst,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
275,Jerry Golsteyn,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
276,Jerry Rhome,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
277,Jerry Tagge,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
278,Jesse Freitas,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
279,Jesse Palmer,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
280,Jim Crocicchia,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
281,Jim Del Gaizo,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
282,Jim Everett,21.0,0.0,57.0,0.2692307692307692,78.0,1.0,0.0,N
283,Jim Harbaugh,20.0,0.0,44.0,0.3125,64.0,1.0,0.0,N
284,Jim Hart,21.0,2.0,54.0,0.2857142857142857,77.0,4.0,0.0,N
285,Jim Kelly,41.0,0.0,34.0,0.5466666666666666,75.0,5.0,1.0,Y
286,Jim LeClair,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
287,Jim McMahon,24.0,0.0,20.0,0.5454545454545454,44.0,1.0,0.0,N
288,Jim Miller,5.0,0.0,9.0,0.3571428571428571,14.0,0.0,0.0,N
289,Jim Ninowski,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
290,Jim Plunkett,19.0,0.0,44.0,0.3015873015873015,63.0,0.0,0.0,N
291,Jim Zorn,15.0,0.0,34.0,0.3061224489795918,49.0,0.0,0.0,N
292,Jimmy Clausen,0.0,0.0,10.0,0.0,10.0,0.0,0.0,N
293,Jimmy Garoppolo,17.0,0.0,14.0,0.5483870967741935,31.0,0.0,0.0,N
294,Joe Burrow,13.0,0.0,15.0,0.4642857142857143,28.0,1.0,0.0,N
295,Joe Ferguson,16.0,0.0,58.0,0.2162162162162162,74.0,0.0,0.0,N
296,Joe Flacco,29.0,0.0,54.0,0.3493975903614458,83.0,0.0,0.0,N
297,Joe Gilliam,0.0,1.0,2.0,0.1666666666666666,3.0,0.0,0.0,N
298,Joe Kapp,9.0,2.0,11.0,0.4545454545454545,22.0,1.0,0.0,N
299,Joe Montana,43.0,0.0,21.0,0.671875,64.0,8.0,3.0,Y
300,Joe Namath,9.0,3.0,42.0,0.1944444444444444,54.0,5.0,1.0,Y
