,Player,W,T,L,Win %,Total,PB,AP1,HoF
301,Joe Pisarcik,2.0,0.0,11.0,0.1538461538461538,13.0,0.0,0.0,N
302,Joe Reed,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
303,Joe Theismann,26.0,0.0,27.0,0.490566037735849,53.0,2.0,1.0,N
304,Joe Webb,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
305,Joey Harrington,7.0,0.0,31.0,0.1842105263157894,38.0,0.0,0.0,N
306,John Beck,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
307,John Brodie,11.0,3.0,26.0,0.3125,40.0,2.0,1.0,N
308,John Elway,46.0,0.0,53.0,0.4646464646464646,99.0,9.0,0.0,Y
309,John Fourcade,3.0,0.0,1.0,0.75,4.0,0.0,0.0,N
310,John Friesz,5.0,0.0,15.0,0.25,20.0,0.0,0.0,N
311,John Hadl,19.0,3.0,42.0,0.3203125,64.0,6.0,1.0,N
312,John Hufnagel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
313,John McCormick,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
314,John Reaves,2.0,0.0,7.0,0.2222222222222222,9.0,0.0,0.0,N
315,John Skelton,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
316,John Stofa,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
317,John Witkowski,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
318,John Wolford,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
319,Johnny Manziel,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
320,Johnny Unitas,11.0,1.0,13.0,0.46,25.0,10.0,1.0,Y
321,Jon Kitna,17.0,0.0,35.0,0.3269230769230769,52.0,0.0,0.0,N
322,Jonathan Quinn,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
323,Jordan Love,4.0,0.0,4.0,0.5,8.0,0.0,0.0,N
324,Josh Allen,23.0,0.0,19.0,0.5476190476190477,42.0,3.0,0.0,N
325,Josh Freeman,7.0,0.0,22.0,0.2413793103448276,29.0,0.0,0.0,N
326,Josh Johnson,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
327,Josh McCown,7.0,0.0,26.0,0.2121212121212121,33.0,0.0,0.0,N
328,Josh Rosen,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
329,Joshua Dobbs,2.0,0.0,7.0,0.2222222222222222,9.0,0.0,0.0,N
330,June Jones,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
331,Justin Fields,3.0,0.0,19.0,0.1363636363636363,22.0,0.0,0.0,N
332,Justin Herbert,7.0,0.0,20.0,0.2592592592592592,27.0,1.0,0.0,N
333,Karl Sweetan,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
334,Kay Stephenson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
335,Keith Null,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
336,Kellen Clemens,3.0,0.0,11.0,0.2142857142857142,14.0,0.0,0.0,N
337,Kellen Moore,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
338,Kelly Holcomb,3.0,0.0,8.0,0.2727272727272727,11.0,0.0,0.0,N
339,Kelly Stouffer,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
340,Ken Anderson,33.0,0.0,48.0,0.4074074074074074,81.0,4.0,1.0,N
341,Ken Dorsey,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
342,Ken Karcher,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
343,Ken O'Brien,10.0,0.0,38.0,0.2083333333333333,48.0,2.0,0.0,N
344,Ken Stabler,30.0,1.0,32.0,0.4841269841269841,63.0,4.0,1.0,Y
345,Kenny Pickett,6.0,0.0,9.0,0.4,15.0,0.0,0.0,N
346,Kent Graham,4.0,0.0,14.0,0.2222222222222222,18.0,0.0,0.0,N
347,Kent Nix,1.0,0.0,8.0,0.1111111111111111,9.0,0.0,0.0,N
348,Kerry Collins,24.0,0.0,65.0,0.2696629213483146,89.0,2.0,0.0,N
349,Kevin Kolb,3.0,0.0,5.0,0.375,8.0,0.0,0.0,N
350,Kevin Sweeney,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
351,Kim McQuilken,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
352,King Hill,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
353,Kirk Cousins,16.0,0.0,46.0,0.2580645161290322,62.0,4.0,0.0,N
354,Kordell Stewart,14.0,0.0,19.0,0.4242424242424242,33.0,1.0,0.0,N
355,Koy Detmer,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
356,Kurt Kittner,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
357,Kurt Warner,15.0,0.0,26.0,0.3658536585365853,41.0,4.0,2.0,Y
358,Kyle Allen,3.0,0.0,6.0,0.3333333333333333,9.0,0.0,0.0,N
359,Kyle Boller,6.0,0.0,15.0,0.2857142857142857,21.0,0.0,0.0,N
360,Kyle Mackey,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
361,Kyle Orton,17.0,0.0,23.0,0.425,40.0,0.0,0.0,N
362,Kyler Murray,9.0,0.0,24.0,0.2727272727272727,33.0,2.0,0.0,N
363,Lamar Jackson,24.0,0.0,16.0,0.6,40.0,3.0,2.0,N
364,Landry Jones,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
365,Larry Cipa,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
366,Larry Rakestraw,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
367,Len Dawson,24.0,4.0,24.0,0.5,52.0,7.0,1.0,Y
368,Luke Falk,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
369,Luke McCown,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
370,Lynn Dickey,10.0,0.0,31.0,0.2439024390243902,41.0,0.0,0.0,N
371,Mac Jones,6.0,0.0,19.0,0.24,25.0,1.0,0.0,N
372,Malik Willis,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
373,Marc Bulger,11.0,0.0,34.0,0.2444444444444444,45.0,2.0,0.0,N
374,Marc Wilson,10.0,0.0,20.0,0.3333333333333333,30.0,0.0,0.0,N
375,Marcus Mariota,14.0,0.0,15.0,0.4827586206896552,29.0,0.0,0.0,N
376,Mark Brunell,16.0,0.0,42.0,0.2758620689655172,58.0,3.0,0.0,N
377,Mark Herrmann,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
378,Mark Malone,7.0,0.0,20.0,0.2592592592592592,27.0,0.0,0.0,N
379,Mark Rypien,16.0,0.0,21.0,0.4324324324324324,37.0,2.0,0.0,N
380,Mark Sanchez,8.0,0.0,19.0,0.2962962962962963,27.0,0.0,0.0,N
381,Mark Vlasic,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
382,Marlin Briscoe,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
383,Marty Domres,2.0,0.0,13.0,0.1333333333333333,15.0,0.0,0.0,N
384,Mason Rudolph,4.0,0.0,3.0,0.5714285714285714,7.0,0.0,0.0,N
385,Matt Barkley,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
386,Matt Cassel,8.0,0.0,20.0,0.2857142857142857,28.0,1.0,0.0,N
387,Matt Cavanaugh,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
388,Matt Flynn,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
389,Matt Hasselbeck,14.0,0.0,43.0,0.2456140350877192,57.0,3.0,0.0,N
390,Matt Leinart,3.0,0.0,4.0,0.4285714285714285,7.0,0.0,0.0,N
391,Matt Lytle,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
392,Matt Mauck,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
393,Matt McGloin,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
394,Matt Moore,5.0,0.0,11.0,0.3125,16.0,0.0,0.0,N
395,Matt Robinson,2.0,0.0,6.0,0.25,8.0,0.0,0.0,N
396,Matt Ryan,35.0,0.0,68.0,0.3398058252427184,103.0,4.0,1.0,N
397,Matt Schaub,14.0,0.0,30.0,0.3181818181818182,44.0,2.0,0.0,N
398,Matt Stevens,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
399,Matthew Stafford,16.0,0.0,80.0,0.1666666666666666,96.0,2.0,0.0,N
400,Max Choboian,2.0,0.0,4.0,0.3333333333333333,6.0,0.0,0.0,N
401,Max Hall,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
402,Michael Vick,14.0,1.0,30.0,0.3222222222222222,45.0,4.0,0.0,N
403,Mike Boryla,1.0,0.0,7.0,0.125,8.0,1.0,0.0,N
404,Mike Busch,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
405,Mike Glennon,2.0,0.0,15.0,0.1176470588235294,17.0,0.0,0.0,N
406,Mike Hohensee,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
407,Mike Kirkland,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
408,Mike Kruczek,2.0,0.0,0.0,1.0,2.0,0.0,0.0,N
409,Mike Livingston,7.0,1.0,33.0,0.1829268292682926,41.0,1.0,0.0,N
410,Mike McMahon,0.0,0.0,8.0,0.0,8.0,0.0,0.0,N
411,Mike Moroski,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
412,Mike Pagel,1.0,1.0,29.0,0.0483870967741935,31.0,0.0,0.0,N
413,Mike Phipps,12.0,1.0,21.0,0.3676470588235294,34.0,0.0,0.0,N
414,Mike Rae,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
415,Mike Taliaferro,1.0,0.0,11.0,0.0833333333333333,12.0,1.0,0.0,N
416,Mike Tomczak,12.0,0.0,21.0,0.3636363636363636,33.0,0.0,0.0,N
417,Mike White,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
418,Milt Plum,1.0,1.0,5.0,0.2142857142857142,7.0,2.0,0.0,N
419,Mitchell Trubisky,9.0,0.0,16.0,0.36,25.0,1.0,0.0,N
420,Moses Moreno,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
421,Nathan Peterman,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
422,Neil Graff,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
423,Neil Lomax,14.0,0.0,32.0,0.3043478260869565,46.0,2.0,0.0,N
424,Neil O'Donnell,17.0,0.0,23.0,0.425,40.0,1.0,0.0,N
425,Nick Foles,9.0,0.0,19.0,0.3214285714285714,28.0,1.0,0.0,N
426,Nick Mullens,2.0,0.0,10.0,0.1666666666666666,12.0,0.0,0.0,N
427,Norm Snead,9.0,1.0,37.0,0.202127659574468,47.0,4.0,0.0,N
428,Norris Weese,3.0,0.0,2.0,0.6,5.0,0.0,0.0,N
429,Oliver Luck,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
430,P.J. Walker,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
431,Pat Haden,12.0,1.0,10.0,0.5434782608695652,23.0,1.0,0.0,N
432,Pat Ryan,4.0,0.0,6.0,0.4,10.0,0.0,0.0,N
433,Pat Sullivan,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
434,Patrick Mahomes,25.0,0.0,16.0,0.6097560975609756,41.0,6.0,2.0,N
435,Patrick Ramsey,3.0,0.0,10.0,0.2307692307692307,13.0,0.0,0.0,N
436,Paul Justin,3.0,0.0,3.0,0.5,6.0,0.0,0.0,N
437,Paul McDonald,2.0,0.0,7.0,0.2222222222222222,9.0,0.0,0.0,N
438,Paxton Lynch,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
439,Pete Beathard,3.0,0.0,11.0,0.2142857142857142,14.0,0.0,0.0,N
440,Pete Liske,3.0,0.0,9.0,0.25,12.0,0.0,0.0,N
441,Peter Tom Willis,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
442,Peyton Manning,61.0,0.0,57.0,0.5169491525423728,118.0,14.0,7.0,Y
443,Phil Simms,24.0,0.0,35.0,0.4067796610169492,59.0,2.0,0.0,N
444,Philip Rivers,36.0,0.0,62.0,0.3673469387755102,98.0,8.0,0.0,N
445,Quincy Carter,4.0,0.0,9.0,0.3076923076923077,13.0,0.0,0.0,N
446,Quinn Gray,2.0,0.0,0.0,1.0,2.0,0.0,0.0,N
447,Randall Cunningham,29.0,0.0,30.0,0.4915254237288136,59.0,4.0,1.0,N
448,Randy Dean,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
449,Randy Fasani,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
450,Randy Hedberg,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
451,Randy Johnson,1.0,0.0,27.0,0.0357142857142857,28.0,0.0,0.0,N
452,Randy Wright,4.0,0.0,14.0,0.2222222222222222,18.0,0.0,0.0,N
453,Ray Lucas,4.0,0.0,4.0,0.5,8.0,0.0,0.0,N
454,Reggie Collier,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
455,Rex Grossman,6.0,0.0,10.0,0.375,16.0,0.0,0.0,N
456,Rich Gannon,24.0,0.0,30.0,0.4444444444444444,54.0,4.0,2.0,N
457,Richard Todd,17.0,1.0,30.0,0.3645833333333333,48.0,0.0,0.0,N
458,Rick Arrington,0.0,1.0,2.0,0.1666666666666666,3.0,0.0,0.0,N
459,Rick Mirer,8.0,0.0,27.0,0.2285714285714285,35.0,0.0,0.0,N
460,Rick Norton,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
461,Rob Johnson,4.0,0.0,10.0,0.2857142857142857,14.0,0.0,0.0,N
462,Robert Griffin III,5.0,0.0,13.0,0.2777777777777778,18.0,1.0,0.0,N
463,Rodney Peete,10.0,0.0,28.0,0.2631578947368421,38.0,0.0,0.0,N
464,Roger Staubach,26.0,0.0,21.0,0.5531914893617021,47.0,6.0,0.0,Y
465,Roman Gabriel,26.0,3.0,38.0,0.4104477611940298,67.0,4.0,1.0,N
466,Ron Jaworski,18.0,0.0,44.0,0.2903225806451613,62.0,1.0,0.0,N
467,Ron Smith,2.0,0.0,3.0,0.4,5.0,0.0,0.0,N
468,Ron Vander Kelen,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
469,Rudy Bukich,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
470,Russell Wilson,43.0,0.0,41.0,0.5119047619047619,84.0,9.0,0.0,N
471,Rusty Hilger,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
472,Rusty Lisch,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
473,Ryan Finley,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
474,Ryan Fitzpatrick,9.0,1.0,55.0,0.1461538461538461,65.0,0.0,0.0,N
475,Ryan Leaf,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
476,Ryan Lindley,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
477,Ryan Mallett,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
478,Ryan Tannehill,30.0,0.0,44.0,0.4054054054054054,74.0,1.0,0.0,N
479,Sage Rosenfels,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
480,Sam Bradford,11.0,1.0,25.0,0.3108108108108108,37.0,0.0,0.0,N
481,Sam Darnold,7.0,0.0,20.0,0.2592592592592592,27.0,0.0,0.0,N
482,Sam Howell,1.0,0.0,9.0,0.1,10.0,0.0,0.0,N
483,Sam Wyche,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
484,Sammy Garza,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
485,Scott Brunner,2.0,0.0,12.0,0.1428571428571428,14.0,0.0,0.0,N
486,Scott Bull,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
487,Scott Campbell,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
488,Scott Covington,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
489,Scott Hunter,9.0,2.0,11.0,0.4545454545454545,22.0,0.0,0.0,N
490,Scott Mitchell,13.0,0.0,23.0,0.3611111111111111,36.0,0.0,0.0,N
491,Scott Secules,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
492,Scott Tinsley,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
493,Scott Tolzien,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
494,Scott Zolak,2.0,0.0,3.0,0.4,5.0,0.0,0.0,N
495,Scotty Glacken,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
496,Sean Mannion,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
497,Sean Salisbury,5.0,0.0,2.0,0.7142857142857143,7.0,0.0,0.0,N
498,Seneca Wallace,1.0,0.0,13.0,0.0714285714285714,14.0,0.0,0.0,N
499,Shane Matthews,5.0,0.0,8.0,0.3846153846153846,13.0,0.0,0.0,N
500,Shaun Hill,5.0,0.0,13.0,0.2777777777777778,18.0,0.0,0.0,N
501,Shaun King,6.0,0.0,6.0,0.5,12.0,0.0,0.0,N
502,Shawn Halloran,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
503,Skylar Thompson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
504,Sonny Jurgensen,11.0,1.0,28.0,0.2875,40.0,5.0,0.0,Y
505,Spergon Wynn,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
506,Stan Gelbaugh,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
507,Stan Humphries,15.0,0.0,20.0,0.4285714285714285,35.0,0.0,0.0,N
508,Stephen McGee,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
509,Steve Bartkowski,9.0,0.0,35.0,0.2045454545454545,44.0,2.0,0.0,N
510,Steve Beuerlein,13.0,0.0,32.0,0.2888888888888888,45.0,1.0,0.0,N
511,Steve Bono,8.0,0.0,8.0,0.5,16.0,1.0,0.0,N
512,Steve Bradley,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
513,Steve DeBerg,15.0,1.0,51.0,0.2313432835820895,67.0,0.0,0.0,N
514,Steve Dils,4.0,0.0,9.0,0.3076923076923077,13.0,0.0,0.0,N
515,Steve Fuller,5.0,0.0,14.0,0.2631578947368421,19.0,0.0,0.0,N
516,Steve Grogan,23.0,0.0,32.0,0.4181818181818181,55.0,0.0,0.0,N
517,Steve Matthews,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
518,Steve McNair,27.0,0.0,34.0,0.4426229508196721,61.0,3.0,0.0,N
519,Steve Myer,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
520,Steve Pelluer,1.0,1.0,14.0,0.09375,16.0,0.0,0.0,N
521,Steve Pisarkiewicz,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
522,Steve Ramsey,1.0,0.0,11.0,0.0833333333333333,12.0,0.0,0.0,N
523,Steve Spurrier,3.0,0.0,14.0,0.1764705882352941,17.0,0.0,0.0,N
524,Steve Stenstrom,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
525,Steve Tensi,4.0,0.0,16.0,0.2,20.0,0.0,0.0,N
526,Steve Walsh,6.0,0.0,14.0,0.3,20.0,0.0,0.0,N
527,Steve Young,26.0,0.0,27.0,0.490566037735849,53.0,7.0,3.0,Y
528,Stoney Case,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
529,T.J. Rubley,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
530,T.J. Yates,3.0,0.0,3.0,0.5,6.0,0.0,0.0,N
531,Tarvaris Jackson,6.0,0.0,9.0,0.4,15.0,0.0,0.0,N
532,Taylor Heinicke,4.0,1.0,10.0,0.3,15.0,0.0,0.0,N
533,Taysom Hill,6.0,0.0,5.0,0.5454545454545454,11.0,0.0,0.0,N
534,Teddy Bridgewater,5.0,0.0,19.0,0.2083333333333333,24.0,1.0,0.0,N
535,Terrelle Pryor,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
536,Terry Bradshaw,31.0,0.0,31.0,0.5,62.0,3.0,1.0,Y
537,Terry Hanratty,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
538,Terry Nofsinger,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
539,Thaddeus Lewis,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
540,Tim Boyle,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
541,Tim Couch,7.0,0.0,21.0,0.25,28.0,0.0,0.0,N
542,Tim Hasselbeck,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
543,Tim Rattay,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
544,Tim Tebow,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
545,Tim Van Galder,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
546,Timm Rosenbach,1.0,0.0,11.0,0.0833333333333333,12.0,0.0,0.0,N
547,Todd Blackledge,5.0,0.0,9.0,0.3571428571428571,14.0,0.0,0.0,N
548,Todd Bouman,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
549,Todd Collins,7.0,0.0,7.0,0.5,14.0,0.0,0.0,N
550,Todd Hons,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
551,Todd Marinovich,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
552,Todd Philcox,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
553,Tom Brady,82.0,0.0,55.0,0.5985401459854015,137.0,15.0,3.0,N
554,Tom Flick,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
555,Tom Flores,3.0,0.0,3.0,0.5,6.0,1.0,0.0,N
556,Tom Hodson,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
557,Tom Owen,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
558,Tom Ramsey,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
559,Tom Savage,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
560,Tom Sherman,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
561,Tom Tupa,2.0,0.0,4.0,0.3333333333333333,6.0,0.0,0.0,N
562,Tommy DeVito,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
563,Tommy Kramer,15.0,0.0,25.0,0.375,40.0,1.0,0.0,N
564,Tommy Maddox,5.0,1.0,12.0,0.3055555555555556,18.0,0.0,0.0,N
565,Tony Adams,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
566,Tony Banks,11.0,0.0,24.0,0.3142857142857143,35.0,0.0,0.0,N
567,Tony Eason,3.0,0.0,16.0,0.1578947368421052,19.0,0.0,0.0,N
568,Tony Romo,19.0,0.0,30.0,0.3877551020408163,49.0,4.0,0.0,N
569,Trent Dilfer,18.0,0.0,30.0,0.375,48.0,1.0,0.0,N
570,Trent Edwards,2.0,0.0,11.0,0.1538461538461538,13.0,0.0,0.0,N
571,Trent Green,20.0,0.0,33.0,0.3773584905660377,53.0,2.0,0.0,N
572,Trevor Lawrence,12.0,0.0,19.0,0.3870967741935484,31.0,1.0,0.0,N
573,Trevor Siemian,5.0,0.0,12.0,0.2941176470588235,17.0,0.0,0.0,N
574,Trey Lance,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
575,Troy Aikman,30.0,0.0,45.0,0.4,75.0,6.0,0.0,Y
576,Troy Smith,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
577,Tua Tagovailoa,9.0,0.0,14.0,0.391304347826087,23.0,1.0,0.0,N
578,Turk Schonert,2.0,0.0,3.0,0.4,5.0,0.0,0.0,N
579,Ty Detmer,4.0,0.0,10.0,0.2857142857142857,14.0,0.0,0.0,N
580,Tyler Huntley,1.0,0.0,5.0,0.1666666666666666,6.0,1.0,0.0,N
581,Tyler Palko,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
582,Tyler Thigpen,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
583,Tyree Jackson,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
584,Tyrod Taylor,8.0,1.0,19.0,0.3035714285714285,28.0,1.0,0.0,N
585,Tyson Bagent,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
586,Vince Evans,5.0,0.0,13.0,0.2777777777777778,18.0,0.0,0.0,N
587,Vince Ferragamo,2.0,0.0,9.0,0.1818181818181818,11.0,0.0,0.0,N
588,Vince Young,8.0,0.0,13.0,0.3809523809523809,21.0,2.0,0.0,N
589,Vinny Testaverde,30.0,0.0,75.0,0.2857142857142857,105.0,2.0,0.0,N
590,Virgil Carter,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
591,Wade Wilson,12.0,0.0,24.0,0.3333333333333333,36.0,1.0,0.0,N
592,Warren Moon,40.0,0.0,50.0,0.4444444444444444,90.0,9.0,0.0,Y
593,Wayne Clark,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
594,Will Furrer,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
595,Will Grier,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
596,Will Levis,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
597,Willie Totten,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
598,Zach Mettenberger,0.0,0.0,7.0,0.0,7.0,0.0,0.0,N
599,Zach Wilson,6.0,0.0,13.0,0.3157894736842105,19.0,0.0,0.0,N
600,Zeke Bratkowski,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
